Tipo_Dado,Tamanho_Array,Algoritmo,Tempo_ms,Tempo_s,Comparacoes,Trocas,Memoria_Auxiliar_Bytes
Ordenado,5000,Selection Sort,43.808000,0.043808,12497500,0,0
Ordenado,5000,Merge Sort,2.081000,0.002081,32004,61808,20000
Ordenado,5000,Quick Sort,113.219000,0.113219,12497500,12502499,0
Ordenado,10000,Bubble Sort,0.000000,0.000000,9999,0,0
Ordenado,10000,Insertion Sort,0.000000,0.000000,9999,0,0
Ordenado,10000,Selection Sort,178.172000,0.178172,49995000,0,0
Ordenado,10000,Merge Sort,3.000000,0.003000,69008,133616,40000
Ordenado,10000,Quick Sort,492.956000,0.492956,49995000,50004999,0
Ordenado,25000,Bubble Sort,0.000000,0.000000,24999,0,0
Ordenado,25000,Insertion Sort,0.000000,0.000000,24999,0,0
Ordenado,25000,Selection Sort,1193.496000,1.193496,312487500,0,0
Ordenado,25000,Merge Sort,8.755000,0.008755,188476,367232,100000
Ordenado,25000,Quick Sort,3129.909000,3.129909,312487500,312512499,0
Ordenado Reversamente,100,Bubble Sort,0.000000,0.000000,4950,4950,0
Ordenado Reversamente,100,Insertion Sort,0.000000,0.000000,4950,99,0
Ordenado Reversamente,100,Selection Sort,0.000000,0.000000,4950,50,0
Ordenado Reversamente,100,Merge Sort,0.000000,0.000000,316,672,400
Ordenado Reversamente,100,Quick Sort,0.000000,0.000000,4950,2549,0
Ordenado Reversamente,250,Bubble Sort,0.000000,0.000000,31125,31125,0
Ordenado Reversamente,250,Insertion Sort,0.000000,0.000000,31125,249,0
Ordenado Reversamente,250,Selection Sort,0.000000,0.000000,31125,125,0
Ordenado Reversamente,250,Merge Sort,0.000000,0.000000,983,1994,1000
Ordenado Reversamente,250,Quick Sort,0.000000,0.000000,31125,15749,0
Ordenado Reversamente,500,Bubble Sort,1.269000,0.001269,124750,124750,0
Ordenado Reversamente,500,Insertion Sort,1.012000,0.001012,124750,499,0
Ordenado Reversamente,500,Selection Sort,1.104000,0.001104,124750,250,0
Ordenado Reversamente,500,Merge Sort,0.000000,0.000000,2216,4488,2000
Ordenado Reversamente,500,Quick Sort,1.038000,0.001038,124750,62749,0
Ordenado Reversamente,1000,Bubble Sort,5.685000,0.005685,499500,499500,0
Ordenado Reversamente,1000,Insertion Sort,3.202000,0.003202,499500,999,0
Ordenado Reversamente,1000,Selection Sort,2.109000,0.002109,499500,500,0
Ordenado Reversamente,1000,Merge Sort,1.226000,0.001226,4932,9976,4000
Ordenado Reversamente,1000,Quick Sort,3.321000,0.003321,499500,250499,0
Ordenado Reversamente,2500,Bubble Sort,35.021000,0.035021,3123750,3123750,0
Ordenado Reversamente,2500,Insertion Sort,15.556000,0.015556,3123750,2499,0
Ordenado Reversamente,2500,Selection Sort,12.007000,0.012007,3123750,1250,0
Ordenado Reversamente,2500,Merge Sort,1.003000,0.001003,13652,28404,10000
Ordenado Reversamente,2500,Quick Sort,18.089000,0.018089,3123750,1563749,0
Ordenado Reversamente,5000,Bubble Sort,152.296000,0.152296,12497500,12497500,0
Ordenado Reversamente,5000,Insertion Sort,76.692000,0.076692,12497500,4999,0
Ordenado Reversamente,5000,Selection Sort,47.787000,0.047787,12497500,2500,0
Ordenado Reversamente,5000,Merge Sort,2.428000,0.002428,29804,61808,20000
Ordenado Reversamente,5000,Quick Sort,82.452000,0.082452,12497500,6252499,0
Ordenado Reversamente,10000,Bubble Sort,608.382000,0.608382,49995000,49995000,0
Ordenado Reversamente,10000,Insertion Sort,271.245000,0.271245,49995000,9999,0
Ordenado Reversamente,10000,Selection Sort,201.808000,0.201808,49995000,5000,0
Ordenado Reversamente,10000,Merge Sort,4.203000,0.004203,64608,133616,40000
Ordenado Reversamente,10000,Quick Sort,300.879000,0.300879,49995000,25004999,0
Ordenado Reversamente,25000,Bubble Sort,3971.404000,3.971404,312487500,312487500,0
Ordenado Reversamente,25000,Insertion Sort,1948.335000,1.948335,312487500,24999,0
Ordenado Reversamente,25000,Selection Sort,1303.301000,1.303301,312487500,12500,0
Ordenado Reversamente,25000,Merge Sort,9.459000,0.009459,178756,367232,100000
Ordenado Reversamente,25000,Quick Sort,1958.057000,1.958057,312487500,156262499,0
